"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"BAT_1011";1;"LS14250";;;
2;"C1";"CP_Radial_D8.0mm_P3.50mm";1;"100uF";;;
3;"C2";"C_0805_2012Metric";1;"10nF";;;
4;"J1";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"DS18B20";;;
5;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"SERIAL";;;
6;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"BATT";;;
7;"R1, R2";"R_0805_2012Metric";2;"1M";;;
8;"R3";"R_0805_2012Metric";1;"4.7k";;;
9;"U1";"nice_nano_teyleten_usb_flipped";1;"nice!nano nRF52840";;;
